ma_id_1,ma_id_2,review_id_1,review_id_2,n_shared,n_ma1,n_ma2,jaccard,shared_studies
CD011381__A1,CD012186__A2,CD011381,CD012186,40,44,105,0.367,achiron 1998; advance 2014; affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; assess 2020; become 2009; beyond 2009; bornstein 1987; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; etemadifar 2007; fazekas 1997; freedoms 2010; freedoms ii 2014; gala 2013; golden 2017; goodkin 1991; ifnb ms group 1993; incomin 2002; johnson 1995; lewanska 2002; millefiorini 1997; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; sunbeam 2019; tower 2014; transforms 2010
CD011381__A2,CD012186__A2,CD011381,CD012186,40,45,105,0.3636,achiron 1998; advance 2014; affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; assess 2020; become 2009; beyond 2009; bornstein 1987; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; fazekas 1997; freedoms 2010; freedoms ii 2014; gala 2013; golden 2017; goodkin 1991; ifnb ms group 1993; incomin 2002; johnson 1995; millefiorini 1997; mscrg 1996; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; sunbeam 2019; temso 2011; tower 2014; transforms 2010
CD011381__A2,CD012186__A1,CD011381,CD012186,32,45,85,0.3265,advance 2014; affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; assess 2020; beyond 2009; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; freedoms 2010; freedoms ii 2014; gala 2013; golden 2017; johnson 1995; mscrg 1996; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; sunbeam 2019; temso 2011; tower 2014; transforms 2010
CD011381__A1,CD012186__A1,CD011381,CD012186,31,44,85,0.3163,advance 2014; affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; assess 2020; beyond 2009; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; freedoms 2010; freedoms ii 2014; gala 2013; golden 2017; johnson 1995; lewanska 2002; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; sunbeam 2019; tower 2014; transforms 2010
CD011381__A4,CD012186__A2,CD011381,CD012186,27,31,105,0.2477,achiron 1998; affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; beyond 2009; bornstein 1987; bravo 2014; care-ms i 2012; care-ms ii 2012; clarity 2010; confirm 2012; define 2012; fazekas 1997; freedoms 2010; freedoms ii 2014; goodkin 1991; ifnb ms group 1993; incomin 2002; johnson 1995; millefiorini 1997; mscrg 1996; opera i 2017; opera ii 2017; radiance 2019; regard 2008; temso 2011
CD011381__A11,CD012186__A1,CD011381,CD012186,26,28,85,0.2989,advance 2014; affirm 2006; allegro 2012; asclepios ii 2020; beyond 2009; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; freedoms 2010; freedoms ii 2014; gala 2013; mscrg 1996; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; tower 2014; transforms 2010
CD011381__A11,CD012186__A2,CD011381,CD012186,26,28,105,0.243,advance 2014; affirm 2006; allegro 2012; asclepios ii 2020; beyond 2009; bravo 2014; camms223 2008; care-ms i 2012; care-ms ii 2012; clarity 2010; combirx 2013; confirm 2012; decide 2015; define 2012; freedoms 2010; freedoms ii 2014; gala 2013; mscrg 1996; opera i 2017; opera ii 2017; prisms 1998; radiance 2019; regard 2008; select 2013; tower 2014; transforms 2010
CD011381__A4,CD012186__A1,CD011381,CD012186,20,31,85,0.2083,affirm 2006; allegro 2012; asclepios i 2020; asclepios ii 2020; beyond 2009; bravo 2014; care-ms i 2012; care-ms ii 2012; clarity 2010; confirm 2012; define 2012; freedoms 2010; freedoms ii 2014; johnson 1995; mscrg 1996; opera i 2017; opera ii 2017; radiance 2019; regard 2008; temso 2011
CD012186__A2,CD015443__A2,CD012186,CD015443,16,105,20,0.1468,arpeggio 2020; ascend 2018; ellison 1989; european study group 1998; expand 2018; goodkin 1995; hommes 2004; impact 2002; informs 2016; leary 2003; nasp 2004; oratorio 2017; pohlau 2007; promess 2017; spectrims 2001; wolinsky 2007
CD012186__A2,CD015443__A10,CD012186,CD015443,13,105,15,0.1215,arpeggio 2020; ascend 2018; ellison 1989; european study group 1998; expand 2018; impact 2002; informs 2016; montalban 2009; nasp 2004; oratorio 2017; pohlau 2007; spectrims 2001; wolinsky 2007
CD013232__A1,CD014965__A1,CD013232,CD014965,12,76,16,0.15,devane 2019; ghanizadeh 2014; ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; mcdougle 1998; nct00198107; nct00468130; nct01624675; owen 2009; shea 2004
CD012186__A2,CD015443__A1,CD012186,CD015443,12,105,16,0.1101,arpeggio 2020; ascend 2018; expand 2018; goodkin 1995; hommes 2004; impact 2002; informs 2016; nasp 2004; oratorio 2017; pohlau 2007; promess 2017; wolinsky 2007
CD013232__A18,CD014965__A1,CD013232,CD014965,11,18,16,0.4783,ichikawa 2017; loebel 2016; luby 2006; marcus 2009; mccracken 2002; mcdougle 1998; nct00198107; nct00468130; nct01624675; owen 2009; shea 2004
CD011381__A3,CD012186__A2,CD011381,CD012186,11,12,105,0.1038,affirm 2006; assess 2020; camms223 2008; combirx 2013; decide 2015; ifnb ms group 1993; incomin 2002; knobler 1993; select 2013; sunbeam 2019; transforms 2010
CD013232__A9,CD014965__A1,CD013232,CD014965,10,52,16,0.1724,devane 2019; ghanizadeh 2014; ichikawa 2017; loebel 2016; luby 2006; marcus 2009; mccracken 2002; nct01624675; owen 2009; shea 2004
CD013232__A7,CD014965__A1,CD013232,CD014965,10,54,16,0.1667,ghanizadeh 2014; ichikawa 2017; loebel 2016; luby 2006; marcus 2009; mccracken 2002; mcdougle 1998; nct01624675; owen 2009; shea 2004
CD013232__A1,CD014965__A7,CD013232,CD014965,10,76,11,0.1299,devane 2019; ghanizadeh 2014; ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; mcdougle 1998; nct00198107; owen 2009; shea 2004
CD013232__A12,CD014965__A1,CD013232,CD014965,9,25,16,0.2812,ichikawa 2017; loebel 2016; luby 2006; marcus 2009; mccracken 2002; mcdougle 1998; nct01624675; owen 2009; shea 2004
CD013232__A1,CD014965__A5,CD013232,CD014965,9,76,10,0.1169,devane 2019; ghanizadeh 2014; ichikawa 2017; marcus 2009; mccracken 2002; mcdougle 1998; nct01624675; owen 2009; shea 2004
CD012186__A1,CD015443__A1,CD012186,CD015443,9,85,16,0.0978,arpeggio 2020; ascend 2018; expand 2018; informs 2016; nasp 2004; oratorio 2017; pohlau 2007; promess 2017; wolinsky 2007
CD012186__A1,CD015443__A2,CD012186,CD015443,9,85,20,0.0938,arpeggio 2020; ascend 2018; expand 2018; informs 2016; nasp 2004; oratorio 2017; pohlau 2007; promess 2017; wolinsky 2007
CD012186__A2,CD015443__A4,CD012186,CD015443,9,105,11,0.0841,ascend 2018; expand 2018; goodkin 1995; hommes 2004; impact 2002; montalban 2009; pohlau 2007; promess 2017; wolinsky 2007
CD013232__A19,CD014965__A1,CD013232,CD014965,8,11,16,0.4211,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; mcdougle 1998; nct00468130; owen 2009; shea 2004
CD013232__A18,CD014965__A7,CD013232,CD014965,8,18,11,0.381,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; mcdougle 1998; nct00198107; owen 2009; shea 2004
CD013232__A9,CD014965__A5,CD013232,CD014965,8,52,10,0.1481,devane 2019; ghanizadeh 2014; ichikawa 2017; marcus 2009; mccracken 2002; nct01624675; owen 2009; shea 2004
CD013232__A9,CD014965__A7,CD013232,CD014965,8,52,11,0.1455,devane 2019; ghanizadeh 2014; ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A7,CD014965__A5,CD013232,CD014965,8,54,10,0.1429,ghanizadeh 2014; ichikawa 2017; marcus 2009; mccracken 2002; mcdougle 1998; nct01624675; owen 2009; shea 2004
CD013232__A7,CD014965__A7,CD013232,CD014965,8,54,11,0.1404,ghanizadeh 2014; ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; mcdougle 1998; owen 2009; shea 2004
CD013232__A1,CD014965__A6,CD013232,CD014965,8,76,8,0.1053,devane 2019; ghanizadeh 2014; ichikawa 2017; loebel 2016; marcus 2009; mcdougle 1998; nct00198107; owen 2009
CD011381__A3,CD012186__A1,CD011381,CD012186,8,12,85,0.0899,affirm 2006; assess 2020; camms223 2008; combirx 2013; decide 2015; select 2013; sunbeam 2019; transforms 2010
CD012186__A1,CD015443__A10,CD012186,CD015443,8,85,15,0.087,arpeggio 2020; ascend 2018; expand 2018; informs 2016; nasp 2004; oratorio 2017; pohlau 2007; wolinsky 2007
CD013232__A21,CD014965__A7,CD013232,CD014965,7,10,11,0.5,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; mcdougle 1998; owen 2009; shea 2004
CD013232__A19,CD014965__A7,CD013232,CD014965,7,11,11,0.4667,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; mcdougle 1998; owen 2009; shea 2004
CD013232__A18,CD014965__A24,CD013232,CD014965,7,18,8,0.3684,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; nct00198107; owen 2009; shea 2004
CD013232__A18,CD014965__A25,CD013232,CD014965,7,18,8,0.3684,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; nct00198107; owen 2009; shea 2004
CD013232__A18,CD014965__A26,CD013232,CD014965,7,18,8,0.3684,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; nct00198107; owen 2009; shea 2004
CD013232__A21,CD014965__A1,CD013232,CD014965,7,10,16,0.3684,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; mcdougle 1998; owen 2009; shea 2004
CD013232__A18,CD014965__A5,CD013232,CD014965,7,18,10,0.3333,ichikawa 2017; marcus 2009; mccracken 2002; mcdougle 1998; nct01624675; owen 2009; shea 2004
CD013232__A12,CD014965__A5,CD013232,CD014965,7,25,10,0.25,ichikawa 2017; marcus 2009; mccracken 2002; mcdougle 1998; nct01624675; owen 2009; shea 2004
CD013232__A12,CD014965__A7,CD013232,CD014965,7,25,11,0.2414,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; mcdougle 1998; owen 2009; shea 2004
CD013232__A1,CD014965__A24,CD013232,CD014965,7,76,8,0.0909,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; nct00198107; owen 2009; shea 2004
CD013232__A1,CD014965__A25,CD013232,CD014965,7,76,8,0.0909,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; nct00198107; owen 2009; shea 2004
CD013232__A1,CD014965__A26,CD013232,CD014965,7,76,8,0.0909,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; nct00198107; owen 2009; shea 2004
CD011535__A4,CD014741__A4,CD011535,CD014741,7,43,42,0.0897,bachelez 2015; bagel 2012; leonardi 2003; papp 2005; torii 2010; tyring 2006; van de kerkhof 2008
CD013232__A1,CD014965__A2,CD013232,CD014965,7,76,11,0.0875,devane 2019; ghanizadeh 2014; loebel 2016; marcus 2009; mcdougle 1998; nct00198107; nct01624675
CD013232__A1,CD014965__A3,CD013232,CD014965,7,76,11,0.0875,devane 2019; ghanizadeh 2014; loebel 2016; marcus 2009; mcdougle 1998; nct00198107; nct01624675
CD011535__A4,CD014741__A5,CD011535,CD014741,7,43,47,0.0843,bachelez 2015; bagel 2012; leonardi 2003; papp 2005; torii 2010; tyring 2006; van de kerkhof 2008
CD001920__A3,CD016002__A1,CD001920,CD016002,7,130,26,0.047,aravind 2022; duncan 1998; duncan 2003; knox 2018; langhammer 2007; letombe 2010; shin 2011
CD006919__A2,CD012586__A1,CD006919,CD012586,7,27,134,0.0455,chatillon-boissier 2012; frydman 1988; kingsland 1992; san roman 1992; sunkara 2014; van de-helder 1990a; yang 1996
CD001920__A4,CD016002__A1,CD001920,CD016002,7,147,26,0.0422,aravind 2022; duncan 1998; duncan 2003; knox 2018; langhammer 2007; letombe 2010; yang 2006
CD013232__A21,CD014965__A24,CD013232,CD014965,6,10,8,0.5,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A21,CD014965__A25,CD013232,CD014965,6,10,8,0.5,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A21,CD014965__A26,CD013232,CD014965,6,10,8,0.5,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A19,CD014965__A24,CD013232,CD014965,6,11,8,0.4615,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A19,CD014965__A25,CD013232,CD014965,6,11,8,0.4615,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A19,CD014965__A26,CD013232,CD014965,6,11,8,0.4615,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A21,CD014965__A5,CD013232,CD014965,6,10,10,0.4286,ichikawa 2017; marcus 2009; mccracken 2002; mcdougle 1998; owen 2009; shea 2004
CD013232__A19,CD014965__A5,CD013232,CD014965,6,11,10,0.4,ichikawa 2017; marcus 2009; mccracken 2002; mcdougle 1998; owen 2009; shea 2004
CD013232__A18,CD014965__A14,CD013232,CD014965,6,18,8,0.3,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; nct00198107; owen 2009
CD013232__A18,CD014965__A6,CD013232,CD014965,6,18,8,0.3,ichikawa 2017; loebel 2016; marcus 2009; mcdougle 1998; nct00198107; owen 2009
CD013232__A18,CD014965__A3,CD013232,CD014965,6,18,11,0.2609,loebel 2016; luby 2006; marcus 2009; mcdougle 1998; nct00198107; nct01624675
CD013232__A12,CD014965__A24,CD013232,CD014965,6,25,8,0.2222,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A12,CD014965__A25,CD013232,CD014965,6,25,8,0.2222,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A12,CD014965__A26,CD013232,CD014965,6,25,8,0.2222,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A9,CD014965__A24,CD013232,CD014965,6,52,8,0.1111,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A9,CD014965__A25,CD013232,CD014965,6,52,8,0.1111,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A9,CD014965__A26,CD013232,CD014965,6,52,8,0.1111,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A9,CD014965__A6,CD013232,CD014965,6,52,8,0.1111,devane 2019; ghanizadeh 2014; ichikawa 2017; loebel 2016; marcus 2009; owen 2009
CD013232__A7,CD014965__A24,CD013232,CD014965,6,54,8,0.1071,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A7,CD014965__A25,CD013232,CD014965,6,54,8,0.1071,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A7,CD014965__A26,CD013232,CD014965,6,54,8,0.1071,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A7,CD014965__A6,CD013232,CD014965,6,54,8,0.1071,ghanizadeh 2014; ichikawa 2017; loebel 2016; marcus 2009; mcdougle 1998; owen 2009
CD013232__A9,CD014965__A3,CD013232,CD014965,6,52,11,0.1053,devane 2019; ghanizadeh 2014; loebel 2016; luby 2006; marcus 2009; nct01624675
CD013232__A14,CD014965__A24,CD013232,CD014965,6,56,8,0.1034,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A14,CD014965__A25,CD013232,CD014965,6,56,8,0.1034,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A14,CD014965__A26,CD013232,CD014965,6,56,8,0.1034,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A7,CD014965__A3,CD013232,CD014965,6,54,11,0.1017,ghanizadeh 2014; loebel 2016; luby 2006; marcus 2009; mcdougle 1998; nct01624675
CD013232__A8,CD014965__A7,CD013232,CD014965,6,55,11,0.1,ghanizadeh 2014; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A14,CD014965__A7,CD013232,CD014965,6,56,11,0.0984,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A8,CD014965__A1,CD013232,CD014965,6,55,16,0.0923,ghanizadeh 2014; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A14,CD014965__A1,CD013232,CD014965,6,56,16,0.0909,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A1,CD014965__A4,CD013232,CD014965,6,76,7,0.0779,devane 2019; ghanizadeh 2014; ichikawa 2017; marcus 2009; mccracken 2002; mcdougle 1998
CD013232__A1,CD014965__A14,CD013232,CD014965,6,76,8,0.0769,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; nct00198107; owen 2009
CD004307__A2,CD015120__A1,CD004307,CD015120,6,50,46,0.0667,etter 2016; halpern 2015; lasser 2017; tappin 2015; tappin 2022; volpp 2009
CD004307__A1,CD015120__A1,CD004307,CD015120,6,52,46,0.0652,etter 2016; halpern 2015; lasser 2017; tappin 2015; tappin 2022; volpp 2009
CD012186__A2,CD015443__A5,CD012186,CD015443,6,105,7,0.0566,ellison 1989; european study group 1998; expand 2018; impact 2002; nasp 2004; oratorio 2017
CD006919__A4,CD012586__A1,CD006919,CD012586,6,36,134,0.0366,chatillon-boissier 2012; frydman 1988; san roman 1992; sunkara 2014; van de-helder 1990a; yang 1996
CD013232__A21,CD014965__A14,CD013232,CD014965,5,10,8,0.3846,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009
CD013232__A21,CD014965__A6,CD013232,CD014965,5,10,8,0.3846,ichikawa 2017; loebel 2016; marcus 2009; mcdougle 1998; owen 2009
CD013232__A19,CD014965__A14,CD013232,CD014965,5,11,8,0.3571,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009
CD013232__A19,CD014965__A6,CD013232,CD014965,5,11,8,0.3571,ichikawa 2017; loebel 2016; marcus 2009; mcdougle 1998; owen 2009
CD013232__A18,CD014965__A13,CD013232,CD014965,5,18,6,0.2632,ichikawa 2017; loebel 2016; marcus 2009; nct01624675; owen 2009
CD013232__A18,CD014965__A2,CD013232,CD014965,5,18,11,0.2083,loebel 2016; marcus 2009; mcdougle 1998; nct00198107; nct01624675
CD013232__A12,CD014965__A13,CD013232,CD014965,5,25,6,0.1923,ichikawa 2017; loebel 2016; marcus 2009; nct01624675; owen 2009
CD013232__A12,CD014965__A14,CD013232,CD014965,5,25,8,0.1786,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009
CD013232__A12,CD014965__A6,CD013232,CD014965,5,25,8,0.1786,ichikawa 2017; loebel 2016; marcus 2009; mcdougle 1998; owen 2009
CD013232__A12,CD014965__A3,CD013232,CD014965,5,25,11,0.1613,loebel 2016; luby 2006; marcus 2009; mcdougle 1998; nct01624675
CD013232__A9,CD014965__A13,CD013232,CD014965,5,52,6,0.0943,ichikawa 2017; loebel 2016; marcus 2009; nct01624675; owen 2009
CD013232__A9,CD014965__A4,CD013232,CD014965,5,52,7,0.0926,devane 2019; ghanizadeh 2014; ichikawa 2017; marcus 2009; mccracken 2002
CD013232__A7,CD014965__A13,CD013232,CD014965,5,54,6,0.0909,ichikawa 2017; loebel 2016; marcus 2009; nct01624675; owen 2009
CD013232__A9,CD014965__A14,CD013232,CD014965,5,52,8,0.0909,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009
CD013232__A7,CD014965__A4,CD013232,CD014965,5,54,7,0.0893,ghanizadeh 2014; ichikawa 2017; marcus 2009; mccracken 2002; mcdougle 1998
CD013232__A7,CD014965__A14,CD013232,CD014965,5,54,8,0.0877,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009
CD013232__A8,CD014965__A24,CD013232,CD014965,5,55,8,0.0862,loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A8,CD014965__A25,CD013232,CD014965,5,55,8,0.0862,loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A8,CD014965__A26,CD013232,CD014965,5,55,8,0.0862,loebel 2016; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A9,CD014965__A2,CD013232,CD014965,5,52,11,0.0862,devane 2019; ghanizadeh 2014; loebel 2016; marcus 2009; nct01624675
CD013232__A14,CD014965__A14,CD013232,CD014965,5,56,8,0.0847,ichikawa 2017; loebel 2016; marcus 2009; mccracken 2002; owen 2009
CD013232__A7,CD014965__A2,CD013232,CD014965,5,54,11,0.0833,ghanizadeh 2014; loebel 2016; marcus 2009; mcdougle 1998; nct01624675
CD013232__A8,CD014965__A5,CD013232,CD014965,5,55,10,0.0833,ghanizadeh 2014; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A14,CD014965__A5,CD013232,CD014965,5,56,10,0.082,ichikawa 2017; marcus 2009; mccracken 2002; owen 2009; shea 2004
CD013232__A3,CD014965__A5,CD013232,CD014965,5,62,10,0.0746,devane 2019; ghanizadeh 2014; marcus 2009; mccracken 2002; owen 2009
CD013232__A3,CD014965__A7,CD013232,CD014965,5,62,11,0.0735,devane 2019; ghanizadeh 2014; marcus 2009; mccracken 2002; owen 2009
CD013232__A3,CD014965__A1,CD013232,CD014965,5,62,16,0.0685,devane 2019; ghanizadeh 2014; marcus 2009; mccracken 2002; owen 2009
CD013232__A1,CD014965__A13,CD013232,CD014965,5,76,6,0.0649,ichikawa 2017; loebel 2016; marcus 2009; nct01624675; owen 2009
CD012186__A1,CD015443__A4,CD012186,CD015443,5,85,11,0.0549,ascend 2018; expand 2018; pohlau 2007; promess 2017; wolinsky 2007
CD001920__A5,CD016002__A2,CD001920,CD016002,5,94,13,0.049,aravind 2022; duncan 1998; duncan 2003; langhammer 2007; letombe 2010
CD001920__A5,CD016002__A1,CD001920,CD016002,5,94,26,0.0435,aravind 2022; duncan 1998; duncan 2003; langhammer 2007; letombe 2010
CD001920__A1,CD016002__A2,CD001920,CD016002,5,118,13,0.0397,aravind 2022; duncan 1998; duncan 2003; langhammer 2007; letombe 2010
CD001920__A2,CD016002__A2,CD001920,CD016002,5,124,13,0.0379,aravind 2022; duncan 1998; duncan 2003; langhammer 2007; letombe 2010
CD001920__A3,CD016002__A2,CD001920,CD016002,5,130,13,0.0362,aravind 2022; duncan 1998; duncan 2003; langhammer 2007; letombe 2010
CD001920__A1,CD016002__A1,CD001920,CD016002,5,118,26,0.036,aravind 2022; duncan 1998; duncan 2003; langhammer 2007; letombe 2010
CD001920__A3,CD016002__A16,CD001920,CD016002,5,130,16,0.0355,aravind 2022; duncan 1998; knox 2018; richards 1993; shin 2011
CD006919__A7,CD012586__A1,CD006919,CD012586,5,12,134,0.0355,chatillon-boissier 2012; frydman 1988; san roman 1992; sunkara 2014; van de-helder 1990a
CD001920__A2,CD016002__A1,CD001920,CD016002,5,124,26,0.0345,aravind 2022; duncan 1998; duncan 2003; langhammer 2007; letombe 2010
CD006919__A5,CD012586__A1,CD006919,CD012586,5,21,134,0.0333,chatillon-boissier 2012; kingsland 1992; san roman 1992; sunkara 2014; yang 1996
CD001920__A4,CD016002__A2,CD001920,CD016002,5,147,13,0.0323,aravind 2022; duncan 1998; duncan 2003; langhammer 2007; letombe 2010
CD001920__A4,CD016002__A15,CD001920,CD016002,5,147,15,0.0318,aravind 2022; duncan 1998; duncan 2003; knox 2018; yang 2006
CD013232__A19,CD014965__A27,CD013232,CD014965,4,11,4,0.3636,ichikawa 2017; loebel 2016; marcus 2009; nct00468130
CD013232__A21,CD014965__A13,CD013232,CD014965,4,10,6,0.3333,ichikawa 2017; loebel 2016; marcus 2009; owen 2009
