ma_id_1,ma_id_2,review_id_1,review_id_2,n_shared,n_ma1,n_ma2,jaccard,shared_studies
CD008552__A6,CD015326__A29,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A6,CD015326__A30,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD008552__A6,CD015326__A38,CD008552,CD015326,2,42,6,0.0435,kobel 2019; ward 2020
CD002042__A20,CD009752__A1,CD002042,CD009752,2,39,10,0.0426,cholette 2011; cholette 2017
CD002042__A7,CD009752__A10,CD002042,CD009752,2,43,6,0.0426,cholette 2011; cholette 2017
CD013232__A15,CD014965__A11,CD013232,CD014965,2,46,3,0.0426,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A27,CD013232,CD014965,2,46,4,0.0417,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A9,CD013232,CD014965,2,46,4,0.0417,ichikawa 2017; marcus 2009
CD009749__A2,CD010001__A4,CD009749,CD010001,2,9,42,0.0408,kim 2010; singh 2021
CD008552__A1,CD015326__A8,CD008552,CD015326,2,42,9,0.0408,kobel 2019; ward 2020
CD008552__A5,CD015326__A8,CD008552,CD015326,2,42,9,0.0408,kobel 2019; ward 2020
CD008552__A6,CD015326__A8,CD008552,CD015326,2,42,9,0.0408,kobel 2019; ward 2020
CD002042__A9,CD009752__A9,CD002042,CD009752,2,47,5,0.04,cholette 2011; cholette 2017
CD008165__A1,CD016064__A3,CD008165,CD016064,2,8,44,0.04,crotty 2004a; crotty 2004b
CD013232__A15,CD014965__A13,CD013232,CD014965,2,46,6,0.04,ichikawa 2017; marcus 2009
CD002042__A4,CD009752__A9,CD002042,CD009752,2,48,5,0.0392,cholette 2011; cholette 2017
CD002042__A7,CD009752__A1,CD002042,CD009752,2,43,10,0.0392,cholette 2011; cholette 2017
CD002042__A9,CD009752__A10,CD002042,CD009752,2,47,6,0.0392,cholette 2011; cholette 2017
CD003331__A8,CD013508__A1,CD003331,CD013508,2,33,20,0.0392,davidson 2010; gary 2010
CD009749__A7,CD010001__A4,CD009749,CD010001,2,11,42,0.0392,kim 2010; singh 2021
CD013232__A15,CD014965__A4,CD013232,CD014965,2,46,7,0.0392,ichikawa 2017; marcus 2009
CD002042__A4,CD009752__A10,CD002042,CD009752,2,48,6,0.0385,cholette 2011; cholette 2017
CD003331__A1,CD013508__A1,CD003331,CD013508,2,34,20,0.0385,davidson 2010; gary 2010
CD013232__A15,CD014965__A14,CD013232,CD014965,2,46,8,0.0385,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A24,CD013232,CD014965,2,46,8,0.0385,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A25,CD013232,CD014965,2,46,8,0.0385,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A26,CD013232,CD014965,2,46,8,0.0385,ichikawa 2017; marcus 2009
CD013232__A15,CD014965__A6,CD013232,CD014965,2,46,8,0.0385,ichikawa 2017; marcus 2009
CD013232__A9,CD014965__A12,CD013232,CD014965,2,52,2,0.0385,loebel 2016; owen 2009
CD002042__A8,CD009752__A9,CD002042,CD009752,2,50,5,0.0377,cholette 2011; cholette 2017
CD009749__A6,CD010001__A4,CD009749,CD010001,2,13,42,0.0377,kim 2010; singh 2021
CD013232__A9,CD014965__A22,CD013232,CD014965,2,52,3,0.0377,mccracken 2002; owen 2009
CD002042__A6,CD009752__A9,CD002042,CD009752,2,51,5,0.037,cholette 2011; cholette 2017
CD002042__A8,CD009752__A10,CD002042,CD009752,2,50,6,0.037,cholette 2011; cholette 2017
CD013232__A15,CD014965__A5,CD013232,CD014965,2,46,10,0.037,ichikawa 2017; marcus 2009
CD013232__A9,CD014965__A8,CD013232,CD014965,2,52,4,0.037,devane 2019; ghanizadeh 2014
CD013232__A7,CD014965__A12,CD013232,CD014965,2,54,2,0.037,loebel 2016; owen 2009
CD002042__A6,CD009752__A10,CD002042,CD009752,2,51,6,0.0364,cholette 2011; cholette 2017
CD002042__A9,CD009752__A1,CD002042,CD009752,2,47,10,0.0364,cholette 2011; cholette 2017
CD013232__A15,CD014965__A7,CD013232,CD014965,2,46,11,0.0364,ichikawa 2017; marcus 2009
CD013232__A7,CD014965__A10,CD013232,CD014965,2,54,3,0.0364,ghanizadeh 2014; mcdougle 1998
CD013232__A7,CD014965__A22,CD013232,CD014965,2,54,3,0.0364,mccracken 2002; owen 2009
CD013232__A8,CD014965__A12,CD013232,CD014965,2,55,2,0.0364,loebel 2016; owen 2009
CD002042__A4,CD009752__A1,CD002042,CD009752,2,48,10,0.0357,cholette 2011; cholette 2017
CD011535__A3,CD014741__A3,CD011535,CD014741,2,28,30,0.0357,bachelez 2015; torii 2010
CD013232__A8,CD014965__A11,CD013232,CD014965,2,55,3,0.0357,ghanizadeh 2014; marcus 2009
CD013232__A7,CD014965__A8,CD013232,CD014965,2,54,4,0.0357,ghanizadeh 2014; mcdougle 1998
CD013232__A8,CD014965__A22,CD013232,CD014965,2,55,3,0.0357,mccracken 2002; owen 2009
CD013232__A14,CD014965__A12,CD013232,CD014965,2,56,2,0.0357,loebel 2016; owen 2009
CD013232__A5,CD014965__A8,CD013232,CD014965,2,54,4,0.0357,devane 2019; mcdougle 1998
CD006536__A1,CD012712__A4,CD006536,CD012712,2,35,24,0.0351,yang 2020; zhang 2021
CD013232__A14,CD014965__A11,CD013232,CD014965,2,56,3,0.0351,ichikawa 2017; marcus 2009
CD013232__A8,CD014965__A27,CD013232,CD014965,2,55,4,0.0351,loebel 2016; marcus 2009
CD013232__A8,CD014965__A9,CD013232,CD014965,2,55,4,0.0351,ghanizadeh 2014; marcus 2009
CD013232__A14,CD014965__A22,CD013232,CD014965,2,56,3,0.0351,mccracken 2002; owen 2009
CD013614__A14,CD014741__A4,CD013614,CD014741,2,17,42,0.0351,mease 2000; mease 2004
CD002042__A8,CD009752__A1,CD002042,CD009752,2,50,10,0.0345,cholette 2011; cholette 2017
CD013232__A14,CD014965__A9,CD013232,CD014965,2,56,4,0.0345,ichikawa 2017; marcus 2009
CD013232__A16,CD014965__A22,CD013232,CD014965,2,57,3,0.0345,mccracken 2002; owen 2009
CD013614__A15,CD014741__A4,CD013614,CD014741,2,18,42,0.0345,mease 2000; mease 2004
CD002042__A6,CD009752__A1,CD002042,CD009752,2,51,10,0.0339,cholette 2011; cholette 2017
CD013232__A16,CD014965__A20,CD013232,CD014965,2,57,4,0.0339,marcus 2009; owen 2009
CD013232__A16,CD014965__A9,CD013232,CD014965,2,57,4,0.0339,marcus 2009; mcdougle 1998
CD013232__A5,CD014965__A4,CD013232,CD014965,2,54,7,0.0339,devane 2019; mcdougle 1998
CD013614__A16,CD014741__A4,CD013614,CD014741,2,19,42,0.0339,mease 2000; mease 2004
CD002042__A1,CD009752__A9,CD002042,CD009752,2,57,5,0.0333,cholette 2011; cholette 2017
CD002042__A2,CD009752__A9,CD002042,CD009752,2,57,5,0.0333,cholette 2011; cholette 2017
CD006919__A3,CD012586__A4,CD006919,CD012586,2,26,36,0.0333,sunkara 2014; tan 1992
CD013232__A15,CD014965__A1,CD013232,CD014965,2,46,16,0.0333,ichikawa 2017; marcus 2009
CD013232__A5,CD014965__A6,CD013232,CD014965,2,54,8,0.0333,devane 2019; mcdougle 1998
CD001431__A6,CD013822__A7,CD001431,CD013822,2,58,5,0.0328,mathieu 2007; schapira 2019
CD002042__A1,CD009752__A10,CD002042,CD009752,2,57,6,0.0328,cholette 2011; cholette 2017
CD002042__A2,CD009752__A10,CD002042,CD009752,2,57,6,0.0328,cholette 2011; cholette 2017
CD013232__A16,CD014965__A13,CD013232,CD014965,2,57,6,0.0328,marcus 2009; owen 2009
CD001431__A6,CD013822__A4,CD001431,CD013822,2,58,6,0.0323,mathieu 2007; schapira 2019
CD013232__A5,CD014965__A5,CD013232,CD014965,2,54,10,0.0323,devane 2019; mcdougle 1998
CD013614__A1,CD014741__A4,CD013614,CD014741,2,22,42,0.0323,mease 2000; mease 2004
CD013614__A14,CD014741__A5,CD013614,CD014741,2,17,47,0.0323,mease 2000; mease 2004
CD006023__A11,CD014758__A2,CD006023,CD014758,2,13,52,0.0317,chen 2023; liu 2024
CD013232__A3,CD014965__A11,CD013232,CD014965,2,62,3,0.0317,ghanizadeh 2014; marcus 2009
CD013232__A3,CD014965__A22,CD013232,CD014965,2,62,3,0.0317,mccracken 2002; owen 2009
CD013232__A5,CD014965__A2,CD013232,CD014965,2,54,11,0.0317,devane 2019; mcdougle 1998
CD013232__A5,CD014965__A3,CD013232,CD014965,2,54,11,0.0317,devane 2019; mcdougle 1998
CD013232__A5,CD014965__A7,CD013232,CD014965,2,54,11,0.0317,devane 2019; mcdougle 1998
CD013614__A15,CD014741__A5,CD013614,CD014741,2,18,47,0.0317,mease 2000; mease 2004
CD001431__A6,CD013822__A1,CD001431,CD013822,2,58,8,0.0312,mathieu 2007; schapira 2019
CD012712__A1,CD014758__A2,CD012712,CD014758,2,14,52,0.0312,zhu 2021; zhu 2022
CD012712__A3,CD014758__A2,CD012712,CD014758,2,14,52,0.0312,zhu 2021; zhu 2022
CD013232__A3,CD014965__A20,CD013232,CD014965,2,62,4,0.0312,marcus 2009; owen 2009
CD013232__A3,CD014965__A9,CD013232,CD014965,2,62,4,0.0312,ghanizadeh 2014; marcus 2009
CD013232__A3,CD014965__A8,CD013232,CD014965,2,62,4,0.0312,devane 2019; ghanizadeh 2014
CD013614__A16,CD014741__A5,CD013614,CD014741,2,19,47,0.0312,mease 2000; mease 2004
CD002042__A1,CD009752__A1,CD002042,CD009752,2,57,10,0.0308,cholette 2011; cholette 2017
CD002042__A2,CD009752__A1,CD002042,CD009752,2,57,10,0.0308,cholette 2011; cholette 2017
CD012712__A6,CD014758__A2,CD012712,CD014758,2,15,52,0.0308,zhu 2021; zhu 2022
CD013232__A14,CD014965__A2,CD013232,CD014965,2,56,11,0.0308,loebel 2016; marcus 2009
CD013232__A14,CD014965__A3,CD013232,CD014965,2,56,11,0.0308,loebel 2016; marcus 2009
CD013232__A16,CD014965__A2,CD013232,CD014965,2,57,11,0.0303,marcus 2009; mcdougle 1998
CD013232__A16,CD014965__A3,CD013232,CD014965,2,57,11,0.0303,marcus 2009; mcdougle 1998
CD013232__A3,CD014965__A13,CD013232,CD014965,2,62,6,0.0303,marcus 2009; owen 2009
CD008165__A1,CD016064__A2,CD008165,CD016064,2,8,61,0.0299,crotty 2004a; crotty 2004b
CD013614__A1,CD014741__A5,CD013614,CD014741,2,22,47,0.0299,mease 2000; mease 2004
CD013232__A5,CD014965__A1,CD013232,CD014965,2,54,16,0.0294,devane 2019; mcdougle 1998
CD015014__A17,CD016064__A1,CD015014,CD016064,2,2,68,0.0294,man 2020; rubenstein 1990
CD006919__A4,CD012586__A4,CD006919,CD012586,2,36,36,0.0286,sunkara 2014; tan 1992
CD012712__A7,CD014758__A2,CD012712,CD014758,2,20,52,0.0286,zhu 2021; zhu 2022
CD011841__A2,CD013763__A2,CD011841,CD013763,2,26,47,0.0282,chen 2020; park 2021
CD012712__A10,CD014758__A2,CD012712,CD014758,2,21,52,0.0282,zhu 2021; zhu 2022
CD012712__A5,CD014758__A2,CD012712,CD014758,2,21,52,0.0282,zhu 2021; zhu 2022
CD006023__A17,CD008349__A8,CD006023,CD008349,2,20,55,0.0274,lee 2013; song 2014
CD014964__A7,CD015328__A5,CD014964,CD015328,2,32,43,0.0274,li 2019; wang 2012
CD002290__A1,CD003594__A2,CD002290,CD003594,2,55,21,0.027,iskdc 1970; ravani 2020
CD012712__A4,CD014758__A2,CD012712,CD014758,2,24,52,0.027,zhu 2021; zhu 2022
CD010216__A3,CD015120__A1,CD010216,CD015120,2,31,46,0.0267,hajek 2019; walker 2020
CD012712__A2,CD014758__A2,CD012712,CD014758,2,25,52,0.0267,zhu 2021; zhu 2022
CD013232__A1,CD014965__A12,CD013232,CD014965,2,76,2,0.0263,loebel 2016; owen 2009
CD013232__A1,CD014965__A10,CD013232,CD014965,2,76,3,0.026,ghanizadeh 2014; mcdougle 1998
CD013232__A1,CD014965__A23,CD013232,CD014965,2,76,3,0.026,mccracken 2002; nct00198107
CD011841__A1,CD013763__A2,CD011841,CD013763,2,33,47,0.0256,chen 2020; park 2021
CD013232__A1,CD014965__A16,CD013232,CD014965,2,76,4,0.0256,loebel 2016; nct00198107
CD001155__A2,CD003376__A1,CD001155,CD003376,2,69,15,0.0244,iwamoto 2005; russo 1996
CD006023__A19,CD008349__A8,CD006023,CD008349,2,29,55,0.0244,lee 2013; song 2014
CD006023__A11,CD014758__A1,CD006023,CD014758,2,13,75,0.0233,chen 2023; liu 2024
CD012712__A1,CD014758__A1,CD012712,CD014758,2,14,75,0.023,zhu 2021; zhu 2022
CD012712__A3,CD014758__A1,CD012712,CD014758,2,14,75,0.023,zhu 2021; zhu 2022
CD012186__A1,CD015443__A3,CD012186,CD015443,2,85,5,0.0227,informs 2016; nasp 2004
CD012712__A6,CD014758__A1,CD012712,CD014758,2,15,75,0.0227,zhu 2021; zhu 2022
CD006185__A3,CD008349__A9,CD006185,CD008349,2,78,13,0.0225,lee 2019; park 2018
CD012186__A1,CD013874__A6,CD012186,CD013874,2,85,6,0.0225,cheshmavar 2021; hauser 2008
CD012186__A1,CD013874__A5,CD012186,CD013874,2,85,7,0.0222,cheshmavar 2021; hauser 2008
CD015014__A32,CD016064__A1,CD015014,CD016064,2,24,68,0.0222,man 2020; rubenstein 1990
CD015014__A33,CD016064__A1,CD015014,CD016064,2,24,68,0.0222,man 2020; rubenstein 1990
CD015014__A34,CD016064__A1,CD015014,CD016064,2,24,68,0.0222,man 2020; rubenstein 1990
CD008063__A1,CD015673__A5,CD008063,CD015673,2,83,10,0.022,anton 2005; de wildt 2002
CD012186__A1,CD013874__A3,CD012186,CD013874,2,85,9,0.0217,cheshmavar 2021; hauser 2008
CD008063__A1,CD015673__A3,CD008063,CD015673,2,83,12,0.0215,anton 2005; de wildt 2002
CD012186__A1,CD013874__A4,CD012186,CD013874,2,85,10,0.0215,cheshmavar 2021; hauser 2008
CD012712__A7,CD014758__A1,CD012712,CD014758,2,20,75,0.0215,zhu 2021; zhu 2022
CD001920__A7,CD016002__A13,CD001920,CD016002,2,83,13,0.0213,aravind 2022; richards 1993
CD001920__A5,CD016002__A21,CD001920,CD016002,2,94,2,0.0213,aravind 2022; duncan 2003
CD012712__A10,CD014758__A1,CD012712,CD014758,2,21,75,0.0213,zhu 2021; zhu 2022
CD012712__A5,CD014758__A1,CD012712,CD014758,2,21,75,0.0213,zhu 2021; zhu 2022
CD001920__A5,CD016002__A4,CD001920,CD016002,2,94,3,0.0211,aravind 2022; langhammer 2007
CD001920__A5,CD016002__A19,CD001920,CD016002,2,94,3,0.0211,aravind 2022; duncan 2003
CD004376__A6,CD013342__A1,CD004376,CD013342,2,74,23,0.0211,chen 2021; lee 2019
CD004376__A6,CD013342__A2,CD004376,CD013342,2,74,23,0.0211,chen 2021; lee 2019
CD001431__A5,CD013822__A7,CD001431,CD013822,2,94,5,0.0206,mathieu 2007; schapira 2019
CD001920__A7,CD016002__A16,CD001920,CD016002,2,83,16,0.0206,aravind 2022; richards 1993
CD001920__A5,CD016002__A7,CD001920,CD016002,2,94,5,0.0206,duncan 2003; letombe 2010
CD001920__A5,CD016002__A24,CD001920,CD016002,2,94,5,0.0206,aravind 2022; duncan 2003
CD012186__A1,CD013874__A1,CD012186,CD013874,2,85,14,0.0206,cheshmavar 2021; hauser 2008
CD012712__A4,CD014758__A1,CD012712,CD014758,2,24,75,0.0206,zhu 2021; zhu 2022
CD001431__A5,CD013822__A4,CD001431,CD013822,2,94,6,0.0204,mathieu 2007; schapira 2019
CD001920__A5,CD016002__A18,CD001920,CD016002,2,94,6,0.0204,aravind 2022; duncan 2003
CD012186__A1,CD013874__A2,CD012186,CD013874,2,85,15,0.0204,cheshmavar 2021; hauser 2008
CD012712__A2,CD014758__A1,CD012712,CD014758,2,25,75,0.0204,zhu 2021; zhu 2022
CD001431__A5,CD013822__A1,CD001431,CD013822,2,94,8,0.02,mathieu 2007; schapira 2019
CD006919__A3,CD012586__A2,CD006919,CD012586,2,26,76,0.02,sunkara 2014; tan 1992
CD006185__A3,CD008349__A11,CD006185,CD008349,2,78,26,0.0196,lee 2019; park 2018
CD014964__A1,CD015328__A5,CD014964,CD015328,2,62,43,0.0194,li 2019; wang 2012
CD014964__A2,CD015328__A5,CD014964,CD015328,2,63,43,0.0192,li 2019; wang 2012
CD014964__A4,CD015328__A5,CD014964,CD015328,2,63,43,0.0192,li 2019; wang 2012
CD012186__A2,CD015443__A9,CD012186,CD015443,2,105,2,0.019,impact 2002; oratorio 2017
CD014964__A3,CD015328__A5,CD014964,CD015328,2,64,43,0.019,li 2019; wang 2012
CD014964__A5,CD015328__A5,CD014964,CD015328,2,64,43,0.019,li 2019; wang 2012
CD006023__A4,CD014758__A2,CD006023,CD014758,2,56,52,0.0189,chen 2023; liu 2024
CD006023__A5,CD014758__A2,CD006023,CD014758,2,56,52,0.0189,chen 2023; liu 2024
CD001431__A4,CD013822__A7,CD001431,CD013822,2,104,5,0.0187,mathieu 2007; schapira 2019
CD004376__A4,CD013342__A1,CD004376,CD013342,2,86,23,0.0187,chen 2021; lee 2019
CD004376__A4,CD013342__A2,CD004376,CD013342,2,86,23,0.0187,chen 2021; lee 2019
CD001920__A5,CD016002__A16,CD001920,CD016002,2,94,16,0.0185,aravind 2022; duncan 1998
CD012186__A2,CD013874__A6,CD012186,CD013874,2,105,6,0.0183,cheshmavar 2021; hauser 2008
CD001431__A4,CD013822__A1,CD001431,CD013822,2,104,8,0.0182,mathieu 2007; schapira 2019
CD006919__A4,CD012586__A2,CD006919,CD012586,2,36,76,0.0182,sunkara 2014; tan 1992
CD012186__A2,CD013874__A5,CD012186,CD013874,2,105,7,0.0182,cheshmavar 2021; hauser 2008
CD006185__A7,CD008349__A9,CD006185,CD008349,2,101,13,0.0179,lee 2019; park 2018
CD006185__A8,CD008349__A9,CD006185,CD008349,2,101,13,0.0179,lee 2019; park 2018
CD006023__A6,CD014758__A2,CD006023,CD014758,2,62,52,0.0179,chen 2023; liu 2024
CD012186__A2,CD013874__A3,CD012186,CD013874,2,105,9,0.0179,cheshmavar 2021; hauser 2008
CD001920__A6,CD016002__A21,CD001920,CD016002,2,113,2,0.0177,aravind 2022; duncan 2003
CD012186__A2,CD013874__A4,CD012186,CD013874,2,105,10,0.0177,cheshmavar 2021; hauser 2008
CD001920__A6,CD016002__A19,CD001920,CD016002,2,113,3,0.0175,aravind 2022; duncan 2003
CD006023__A6,CD008349__A8,CD006023,CD008349,2,62,55,0.0174,lee 2013; song 2014
CD001920__A6,CD016002__A7,CD001920,CD016002,2,113,5,0.0172,duncan 2003; letombe 2010
CD001920__A6,CD016002__A24,CD001920,CD016002,2,113,5,0.0172,aravind 2022; duncan 2003
CD001920__A6,CD016002__A18,CD001920,CD016002,2,113,6,0.0171,aravind 2022; duncan 2003
CD004376__A3,CD013342__A1,CD004376,CD013342,2,96,23,0.0171,chen 2021; lee 2019
CD004376__A3,CD013342__A2,CD004376,CD013342,2,96,23,0.0171,chen 2021; lee 2019
CD012186__A2,CD013874__A1,CD012186,CD013874,2,105,14,0.0171,cheshmavar 2021; hauser 2008
CD001920__A1,CD016002__A21,CD001920,CD016002,2,118,2,0.0169,aravind 2022; duncan 2003
CD012186__A2,CD013874__A2,CD012186,CD013874,2,105,15,0.0169,cheshmavar 2021; hauser 2008
CD001920__A1,CD016002__A4,CD001920,CD016002,2,118,3,0.0168,aravind 2022; langhammer 2007
CD001920__A1,CD016002__A19,CD001920,CD016002,2,118,3,0.0168,aravind 2022; duncan 2003
CD001920__A1,CD016002__A7,CD001920,CD016002,2,118,5,0.0165,duncan 2003; letombe 2010
CD001920__A1,CD016002__A24,CD001920,CD016002,2,118,5,0.0165,aravind 2022; duncan 2003
CD001920__A1,CD016002__A18,CD001920,CD016002,2,118,6,0.0164,aravind 2022; duncan 2003
CD006023__A1,CD014758__A2,CD006023,CD014758,2,73,52,0.0163,chen 2023; liu 2024
CD001920__A2,CD016002__A21,CD001920,CD016002,2,124,2,0.0161,aravind 2022; duncan 2003
CD001920__A2,CD016002__A4,CD001920,CD016002,2,124,3,0.016,aravind 2022; langhammer 2007
CD001920__A2,CD016002__A19,CD001920,CD016002,2,124,3,0.016,aravind 2022; duncan 2003
CD006185__A7,CD008349__A11,CD006185,CD008349,2,101,26,0.016,lee 2019; park 2018
CD006185__A8,CD008349__A11,CD006185,CD008349,2,101,26,0.016,lee 2019; park 2018
CD008063__A1,CD011866__A1,CD008063,CD011866,2,83,45,0.0159,marsden 2006; stein 2009
CD001920__A6,CD016002__A16,CD001920,CD016002,2,113,16,0.0157,aravind 2022; duncan 1998
CD001920__A2,CD016002__A7,CD001920,CD016002,2,124,5,0.0157,duncan 2003; letombe 2010
CD001920__A2,CD016002__A24,CD001920,CD016002,2,124,5,0.0157,aravind 2022; duncan 2003
CD001920__A2,CD016002__A18,CD001920,CD016002,2,124,6,0.0156,aravind 2022; duncan 2003
CD001920__A1,CD016002__A13,CD001920,CD016002,2,118,13,0.0155,aravind 2022; richards 1993
CD006023__A4,CD014758__A1,CD006023,CD014758,2,56,75,0.0155,chen 2023; liu 2024
CD006023__A5,CD014758__A1,CD006023,CD014758,2,56,75,0.0155,chen 2023; liu 2024
CD001920__A3,CD016002__A21,CD001920,CD016002,2,130,2,0.0154,aravind 2022; duncan 2003
CD001920__A3,CD016002__A4,CD001920,CD016002,2,130,3,0.0153,aravind 2022; langhammer 2007
CD001920__A3,CD016002__A19,CD001920,CD016002,2,130,3,0.0153,aravind 2022; duncan 2003
CD001920__A3,CD016002__A7,CD001920,CD016002,2,130,5,0.015,duncan 2003; letombe 2010
CD001920__A3,CD016002__A14,CD001920,CD016002,2,130,5,0.015,duncan 2003; knox 2018
CD001920__A3,CD016002__A24,CD001920,CD016002,2,130,5,0.015,aravind 2022; duncan 2003
CD001920__A3,CD016001__A16,CD001920,CD016001,2,130,5,0.015,arabzadeh 2018; knox 2018
CD001920__A3,CD016002__A18,CD001920,CD016002,2,130,6,0.0149,aravind 2022; duncan 2003
CD001920__A2,CD016002__A13,CD001920,CD016002,2,124,13,0.0148,aravind 2022; richards 1993
CD006023__A6,CD014758__A1,CD006023,CD014758,2,62,75,0.0148,chen 2023; liu 2024
CD012586__A1,CD013827__A14,CD012586,CD013827,2,134,4,0.0147,begueria 2019; giles 2021
CD012586__A1,CD013827__A7,CD012586,CD013827,2,134,10,0.0141,begueria 2019; yu 2018
CD004376__A2,CD013342__A1,CD004376,CD013342,2,123,23,0.0139,chen 2021; lee 2019
CD004376__A2,CD013342__A2,CD004376,CD013342,2,123,23,0.0139,chen 2021; lee 2019
CD006023__A1,CD014758__A1,CD006023,CD014758,2,73,75,0.0137,chen 2023; liu 2024
CD001920__A4,CD016002__A21,CD001920,CD016002,2,147,2,0.0136,aravind 2022; duncan 2003
CD006185__A2,CD014758__A1,CD006185,CD014758,2,74,75,0.0136,lee 2022; zhang 2023
CD001920__A4,CD016002__A4,CD001920,CD016002,2,147,3,0.0135,aravind 2022; langhammer 2007
CD001920__A4,CD016002__A19,CD001920,CD016002,2,147,3,0.0135,aravind 2022; duncan 2003
CD001920__A4,CD016002__A7,CD001920,CD016002,2,147,5,0.0133,duncan 2003; letombe 2010
CD001920__A4,CD016002__A14,CD001920,CD016002,2,147,5,0.0133,duncan 2003; knox 2018
CD001920__A4,CD016002__A24,CD001920,CD016002,2,147,5,0.0133,aravind 2022; duncan 2003
CD004376__A5,CD013342__A1,CD004376,CD013342,2,129,23,0.0133,chen 2021; lee 2019
CD004376__A5,CD013342__A2,CD004376,CD013342,2,129,23,0.0133,chen 2021; lee 2019
CD001920__A4,CD016002__A18,CD001920,CD016002,2,147,6,0.0132,aravind 2022; duncan 2003
CD001920__A4,CD016001__A13,CD001920,CD016001,2,147,6,0.0132,knox 2018; signal 2014
CD006185__A3,CD014758__A1,CD006185,CD014758,2,78,75,0.0132,lee 2022; zhang 2023
CD001920__A3,CD016001__A1,CD001920,CD016001,2,130,24,0.0132,arabzadeh 2018; knox 2018
CD001920__A4,CD016001__A17,CD001920,CD016001,2,147,8,0.0131,knox 2018; park 2021
CD004376__A1,CD013342__A1,CD004376,CD013342,2,133,23,0.013,chen 2021; lee 2019
CD004376__A1,CD013342__A2,CD004376,CD013342,2,133,23,0.013,chen 2021; lee 2019
CD001920__A4,CD016002__A17,CD001920,CD016002,2,147,10,0.0129,knox 2018; yang 2006
CD001920__A4,CD008349__A9,CD001920,CD008349,2,147,13,0.0127,kim 2012a; song 2015
CD004376__A4,CD006185__A3,CD004376,CD006185,2,86,78,0.0123,kim 2020; lee 2019
CD001431__A2,CD013822__A7,CD001431,CD013822,2,161,5,0.0122,mathieu 2007; schapira 2019
CD001431__A2,CD013822__A1,CD001431,CD013822,2,161,8,0.012,mathieu 2007; schapira 2019
CD001431__A3,CD013822__A7,CD001431,CD013822,2,167,5,0.0118,mathieu 2007; schapira 2019
CD001431__A1,CD013822__A7,CD001431,CD013822,2,170,5,0.0116,mathieu 2007; schapira 2019
CD001431__A3,CD013822__A1,CD001431,CD013822,2,167,8,0.0116,mathieu 2007; schapira 2019
CD004376__A6,CD006185__A7,CD004376,CD006185,2,74,101,0.0116,chang 2012; lee 2019
CD004376__A6,CD006185__A8,CD004376,CD006185,2,74,101,0.0116,chang 2012; lee 2019
CD006185__A7,CD014758__A1,CD006185,CD014758,2,101,75,0.0115,lee 2022; zhang 2023
CD006185__A8,CD014758__A1,CD006185,CD014758,2,101,75,0.0115,lee 2022; zhang 2023
CD011689__A1,CD012586__A1,CD011689,CD012586,2,42,134,0.0115,liu 2020; ng 2001
CD001431__A1,CD013822__A1,CD001431,CD013822,2,170,8,0.0114,mathieu 2007; schapira 2019
CD004376__A3,CD006185__A7,CD004376,CD006185,2,96,101,0.0103,lee 2019; lu 2017
CD004376__A3,CD006185__A8,CD004376,CD006185,2,96,101,0.0103,lee 2019; lu 2017
CD004376__A2,CD006185__A3,CD004376,CD006185,2,123,78,0.0101,kim 2020; lee 2019
CD004376__A5,CD006185__A3,CD004376,CD006185,2,129,78,0.0098,kim 2020; lee 2019
CD011689__A3,CD012586__A1,CD011689,CD012586,2,80,134,0.0094,liu 2020; ng 2001
CD011689__A6,CD012586__A1,CD011689,CD012586,2,81,134,0.0094,liu 2020; ng 2001
CD011689__A2,CD012586__A1,CD011689,CD012586,2,84,134,0.0093,liu 2020; ng 2001
CD011689__A8,CD012586__A1,CD011689,CD012586,2,88,134,0.0091,liu 2020; ng 2001
CD011689__A7,CD012586__A1,CD011689,CD012586,2,98,134,0.0087,liu 2020; ng 2001
